reserveRatio,availableShipsRatio,defenseReinforceRatio,defensePriorityBase,neutralHorizon,enemyGrowthWeight,attackPriorityForLargestEnemy,vulnerabilityPenalty,sourceMinShips,maxAttackDistance,internalRedistributionDistance,internalRedistributionShips,defensiveOverkillMargin,attackOverkillMargin,winRate,gamesPlayed,timestamp
0.16144043852582665,0.5,0.8726788164910481,1981.3306658171791,32,7.773299340309059,25.210326562731378,40.149163959713626,2,80,40,39,3,2,1.0,20,2025-05-16 10:13:53
0.3226781347279918,0.5,0.7929974820092291,2000.0,32,7.547812126038408,20.0,48.06381373476309,2,78,32,40,2,2,1.0,20,2025-05-16 10:13:53
0.10069680280947618,0.5,0.868162762193359,1637.1094796643567,39,8.998187780716197,27.64188124363141,43.825734740286265,2,80,38,36,3,1,1.0,20,2025-05-16 10:13:53
0.16683386885410528,0.5,0.8843783326854228,1689.9693707731044,23,6.74146769585415,24.173202846102463,48.30867608624355,2,69,37,38,3,1,1.0,20,2025-05-16 10:13:53
0.1,0.5,0.8523898685450197,1635.7752502275864,37,5.0,37.582256729547794,50.0,2,77,35,38,3,1,1.0,20,2025-05-16 10:13:53
0.14672031014027312,0.6214489132464849,0.9108288660461741,1638.8854403604603,20,5.425038118220668,20.0,50.0,1,73,28,39,3,1,1.0,20,2025-05-16 10:13:53
0.13882402989847448,0.5216572152414247,0.938694646482872,1523.0738588077543,34,5.0,48.98504607460042,50.0,2,80,35,36,2,1,1.0,20,2025-05-16 10:13:53
0.14322959483737308,0.6591242127471667,0.878999246204481,1816.0018404417149,52,5.328364682377624,60.35968014711839,50.0,2,66,35,40,3,1,1.0,20,2025-05-16 10:13:53
0.2613514045388167,0.5033542395240141,0.7212038880949556,1988.9118317193515,20,9.1613288467818,20.0,48.46332676652047,2,76,24,37,4,2,1.0,20,2025-05-16 10:13:53
0.1,0.5,0.7661093202086295,1638.9011481600605,20,7.137573027665837,20.0,47.81611043992043,2,63,39,31,4,1,1.0,20,2025-05-16 10:13:53
